,District,Mandal,Date,temp_min (⁰C),temp_max (⁰C)
30,Adilabad,Bheempoor,2019-07-01,23.9,30.1
31,Adilabad,Bheempoor,2019-07-02,23.5,30.9
32,Adilabad,Bheempoor,2019-07-03,25.0,32.4
33,Adilabad,Bheempoor,2019-07-04,25.2,31.5
34,Adilabad,Bheempoor,2019-07-05,26.2,33.8
35,Adilabad,Bheempoor,2019-07-06,25.2,33.6
36,Adilabad,Bheempoor,2019-07-07,25.5,32.9
37,Adilabad,Bheempoor,2019-07-08,25.7,32.7
38,Adilabad,Bheempoor,2019-07-09,25.2,33.8
39,Adilabad,Bheempoor,2019-07-10,24.0,32.2
40,Adilabad,Bheempoor,2019-07-11,26.9,35.2
41,Adilabad,Bheempoor,2019-07-12,24.9,32.4
42,Adilabad,Bheempoor,2019-07-13,27.1,35.1
43,Adilabad,Bheempoor,2019-07-14,26.2,36.7
44,Adilabad,Bheempoor,2019-07-15,26.9,36.5
45,Adilabad,Bheempoor,2019-07-16,25.6,36.5
46,Adilabad,Bheempoor,2019-07-17,26.4,37.0
47,Adilabad,Bheempoor,2019-07-18,27.6,37.9
48,Adilabad,Bheempoor,2019-07-19,25.6,38.2
49,Adilabad,Bheempoor,2019-07-20,27.1,36.8
50,Adilabad,Bheempoor,2019-07-21,25.0,34.4
51,Adilabad,Bheempoor,2019-07-22,27.1,36.4
52,Adilabad,Bheempoor,2019-07-23,27.7,36.4
53,Adilabad,Bheempoor,2019-07-24,28.0,37.1
54,Adilabad,Bheempoor,2019-07-25,28.2,37.2
55,Adilabad,Bheempoor,2019-07-26,24.9,34.5
56,Adilabad,Bheempoor,2019-07-27,24.3,27.3
57,Adilabad,Bheempoor,2019-07-28,23.8,28.1
58,Adilabad,Bheempoor,2019-07-29,24.2,28.4
59,Adilabad,Bheempoor,2019-07-30,23.1,25.0
60,Adilabad,Bheempoor,2019-07-31,23.3,25.0
61,Adilabad,Bheempoor,2019-08-01,24.5,29.5
62,Adilabad,Bheempoor,2019-08-02,24.9,28.5
63,Adilabad,Bheempoor,2019-08-03,24.5,28.4
64,Adilabad,Bheempoor,2019-08-04,24.4,26.7
65,Adilabad,Bheempoor,2019-08-05,26.2,31.3
66,Adilabad,Bheempoor,2019-08-06,24.9,33.0
67,Adilabad,Bheempoor,2019-08-07,25.1,30.6
68,Adilabad,Bheempoor,2019-08-08,24.7,28.0
69,Adilabad,Bheempoor,2019-08-09,24.5,26.3
70,Adilabad,Bheempoor,2019-08-10,26.5,31.9
71,Adilabad,Bheempoor,2019-08-11,24.7,33.1
72,Adilabad,Bheempoor,2019-08-12,25.0,34.0
73,Adilabad,Bheempoor,2019-08-13,26.0,32.9
74,Adilabad,Bheempoor,2019-08-14,24.5,28.8
75,Adilabad,Bheempoor,2019-08-15,25.6,32.1
76,Adilabad,Bheempoor,2019-08-16,25.9,33.7
77,Adilabad,Bheempoor,2019-08-17,24.2,33.7
78,Adilabad,Bheempoor,2019-08-18,25.6,34.1
79,Adilabad,Bheempoor,2019-08-19,24.9,32.9
80,Adilabad,Bheempoor,2019-08-20,25.4,33.2
81,Adilabad,Bheempoor,2019-08-21,25.6,33.2
82,Adilabad,Bheempoor,2019-08-22,25.5,32.6
83,Adilabad,Bheempoor,2019-08-23,24.4,31.3
84,Adilabad,Bheempoor,2019-08-24,24.8,29.2
85,Adilabad,Bheempoor,2019-08-25,25.2,31.6
86,Adilabad,Bheempoor,2019-08-26,24.6,27.9
87,Adilabad,Bheempoor,2019-08-27,22.4,29.3
