district,Mandal,Date,temp_min ,temp_max 
Adilabad,Bheempoor,01-01-2020,16.4,25.8
Adilabad,Bheempoor,02-01-2020,17.1,27.7
Adilabad,Bheempoor,03-01-2020,16.9,22.2
Adilabad,Bheempoor,04-01-2020,15.1,23
Adilabad,Bheempoor,05-01-2020,13.2,25.7
Adilabad,Bheempoor,06-01-2020,10.2,26.4
Adilabad,Bheempoor,07-01-2020,14.3,28
Adilabad,Bheempoor,08-01-2020,18.8,28.5
Adilabad,Bheempoor,09-01-2020,20,29.8
Adilabad,Bheempoor,10-01-2020,11.5,24.3
Adilabad,Bheempoor,11-01-2020,9.3,24.4
Adilabad,Bheempoor,12-01-2020,8,25.1
Adilabad,Bheempoor,13-01-2020,8.3,26.9
Adilabad,Bheempoor,14-01-2020,11,29.5
Adilabad,Bheempoor,15-01-2020,14.2,30.3
Adilabad,Bheempoor,16-01-2020,15.5,31
Adilabad,Bheempoor,17-01-2020,17.3,30.5
Adilabad,Bheempoor,18-01-2020,15.6,28.2
Adilabad,Bheempoor,19-01-2020,15.7,29.9
Adilabad,Bheempoor,20-01-2020,16.3,29.9
Adilabad,Bheempoor,21-01-2020,14.6,28.2
Adilabad,Bheempoor,22-01-2020,17,31.8
Adilabad,Bheempoor,23-01-2020,15.4,31.5
Adilabad,Bheempoor,24-01-2020,15.4,32.7
Adilabad,Bheempoor,25-01-2020,14.9,31
Adilabad,Bheempoor,26-01-2020,14,31.6
Adilabad,Bheempoor,27-01-2020,12.5,30.6
Adilabad,Bheempoor,28-01-2020,20.5,34.6
Adilabad,Bheempoor,29-01-2020,17,32.4
Adilabad,Bheempoor,30-01-2020,13.1,30.3
Adilabad,Bheempoor,31-01-2020,9.7,29.2
Adilabad,Bheempoor,01-02-2020,14.8,29.2
Adilabad,Bheempoor,02-02-2020,14.7,29.1
Adilabad,Bheempoor,03-02-2020,18.5,28.6
Adilabad,Bheempoor,04-02-2020,16.9,31.1
Adilabad,Bheempoor,05-02-2020,18.4,32.1
Adilabad,Bheempoor,06-02-2020,16.6,29.6
Adilabad,Bheempoor,07-02-2020,16.7,31.5
Adilabad,Bheempoor,08-02-2020,19.3,30.1
Adilabad,Bheempoor,09-02-2020,15.3,24.8
Adilabad,Bheempoor,10-02-2020,12.7,27.6
Adilabad,Bheempoor,11-02-2020,14,29
Adilabad,Bheempoor,12-02-2020,15.2,31.4
Adilabad,Bheempoor,13-02-2020,12.4,31.5
Adilabad,Bheempoor,14-02-2020,14.5,32.9
Adilabad,Bheempoor,15-02-2020,12.5,34
Adilabad,Bheempoor,16-02-2020,12.5,33.4
Adilabad,Bheempoor,17-02-2020,11.7,34.1
Adilabad,Bheempoor,18-02-2020,8.8,33.9
Adilabad,Bheempoor,19-02-2020,9.6,33.9
Adilabad,Bheempoor,20-02-2020,15.5,34.7
Adilabad,Bheempoor,21-02-2020,18.4,33.8
Adilabad,Bheempoor,22-02-2020,16.5,32.7
Adilabad,Bheempoor,23-02-2020,18.7,34.4
Adilabad,Bheempoor,24-02-2020,18.2,34.7
Adilabad,Bheempoor,25-02-2020,17.9,35.4
Adilabad,Bheempoor,26-02-2020,11.4,31.6
Adilabad,Bheempoor,27-02-2020,10.5,32.1
Adilabad,Bheempoor,28-02-2020,12.5,33.5
Adilabad,Bheempoor,29-02-2020,13.3,34.8
Adilabad,Bheempoor,01-03-2020,17.2,35
Adilabad,Bheempoor,02-03-2020,18.8,34.5
Adilabad,Bheempoor,03-03-2020,19.6,34.8
Adilabad,Bheempoor,04-03-2020,15.6,35.4
Adilabad,Bheempoor,05-03-2020,13.9,35
Adilabad,Bheempoor,06-03-2020,17.1,34.1
Adilabad,Bheempoor,07-03-2020,16.5,34.6
Adilabad,Bheempoor,08-03-2020,16.7,32.6
Adilabad,Bheempoor,09-03-2020,22,33.1
Adilabad,Bheempoor,10-03-2020,20.9,33.5
Adilabad,Bheempoor,11-03-2020,23.8,36.2
Adilabad,Bheempoor,12-03-2020,22.3,35.1
Adilabad,Bheempoor,13-03-2020,22.8,35.3
Adilabad,Bheempoor,14-03-2020,21.9,34.1
Adilabad,Bheempoor,15-03-2020,18.4,33.2
Adilabad,Bheempoor,16-03-2020,20.5,34.4
Adilabad,Bheempoor,17-03-2020,21.9,35
Adilabad,Bheempoor,18-03-2020,21.2,37.4
Adilabad,Bheempoor,19-03-2020,21.3,36.4
Adilabad,Bheempoor,20-03-2020,19.8,38
Adilabad,Bheempoor,21-03-2020,18.5,37.5
Adilabad,Bheempoor,22-03-2020,15,35.9
Adilabad,Bheempoor,23-03-2020,18.1,36.8
Adilabad,Bheempoor,24-03-2020,21.3,37.9
Adilabad,Bheempoor,25-03-2020,21.1,38
Adilabad,Bheempoor,26-03-2020,22.1,37.4
Adilabad,Bheempoor,27-03-2020,21,37.8
Adilabad,Bheempoor,28-03-2020,23.2,38.4
Adilabad,Bheempoor,29-03-2020,22.5,38
Adilabad,Bheempoor,30-03-2020,20.2,37.3
Adilabad,Bheempoor,31-03-2020,21.7,37.8
Adilabad,Jainad,01-01-2020,16.5,25.9
Adilabad,Jainad,02-01-2020,16.9,26.5
Adilabad,Jainad,03-01-2020,16.9,22.5
Adilabad,Jainad,04-01-2020,15.9,21.6
Adilabad,Jainad,05-01-2020,14.7,25
Adilabad,Jainad,06-01-2020,10.6,25.4
Adilabad,Jainad,07-01-2020,14.3,27
Adilabad,Jainad,08-01-2020,18.8,28.8
Adilabad,Jainad,09-01-2020,19.7,30.2
Adilabad,Jainad,10-01-2020,12,24.6
Adilabad,Jainad,11-01-2020,9.2,24.7
Adilabad,Jainad,12-01-2020,8.1,25.6
Adilabad,Jainad,13-01-2020,8.6,27.3
Adilabad,Jainad,14-01-2020,11.5,29.9
Adilabad,Jainad,15-01-2020,14.4,30.7
Adilabad,Jainad,16-01-2020,15.7,31.5
Adilabad,Jainad,17-01-2020,17.6,30.2
Adilabad,Jainad,18-01-2020,16.8,28.9
Adilabad,Jainad,19-01-2020,16.5,30.3
Adilabad,Jainad,20-01-2020,14.9,30.3
Adilabad,Jainad,21-01-2020,15.3,27.5
Adilabad,Jainad,22-01-2020,17.5,32.1
Adilabad,Jainad,23-01-2020,16.3,32.1
Adilabad,Jainad,24-01-2020,15.8,31.9
Adilabad,Jainad,25-01-2020,15.1,30.5
Adilabad,Jainad,26-01-2020,14.5,32.3
Adilabad,Jainad,27-01-2020,12.4,31
Adilabad,Jainad,28-01-2020,20.8,34.5
Adilabad,Jainad,29-01-2020,17.2,31.7
Adilabad,Jainad,30-01-2020,13.8,31
Adilabad,Jainad,31-01-2020,11.2,28.8
Adilabad,Jainad,01-02-2020,15.1,28.1
Adilabad,Jainad,02-02-2020,15.7,28.3
Adilabad,Jainad,03-02-2020,18.6,27.9
Adilabad,Jainad,04-02-2020,17.7,30.2
Adilabad,Jainad,05-02-2020,20.1,32.2
Adilabad,Jainad,06-02-2020,17.4,29.8
Adilabad,Jainad,07-02-2020,17.3,31.1
Adilabad,Jainad,08-02-2020,19.3,29.4
Adilabad,Jainad,09-02-2020,16.2,23.3
Adilabad,Jainad,10-02-2020,14.4,26.2
Adilabad,Jainad,11-02-2020,16.1,28.9
Adilabad,Jainad,12-02-2020,16.3,30.4
Adilabad,Jainad,13-02-2020,14.2,31.3
Adilabad,Jainad,14-02-2020,16.4,32.2
Adilabad,Jainad,15-02-2020,15.1,33.9
Adilabad,Jainad,16-02-2020,14.9,33.5
Adilabad,Jainad,17-02-2020,13.9,32.7
Adilabad,Jainad,18-02-2020,11.4,32.7
Adilabad,Jainad,19-02-2020,12.1,33.5
Adilabad,Jainad,20-02-2020,17.6,34.2
Adilabad,Jainad,21-02-2020,17.8,33.7
Adilabad,Jainad,22-02-2020,18.4,33.2
Adilabad,Jainad,23-02-2020,19.7,34.4
Adilabad,Jainad,24-02-2020,20.8,35.3
Adilabad,Jainad,25-02-2020,18,35.4
Adilabad,Jainad,26-02-2020,13.1,32
Adilabad,Jainad,27-02-2020,11.9,32.1
Adilabad,Jainad,28-02-2020,13.7,33.5
Adilabad,Jainad,29-02-2020,14.6,34.1
Adilabad,Jainad,01-03-2020,16.8,35.3
Adilabad,Jainad,02-03-2020,19.6,34.4
Adilabad,Jainad,03-03-2020,20.3,35.9
Adilabad,Jainad,04-03-2020,18.5,35.4
Adilabad,Jainad,05-03-2020,15.4,35.5
Adilabad,Jainad,06-03-2020,20.4,34.8
